Config Name,Research Type,Sources,Limit to Country,Official Sources,Mandatory Keywords,Topic Keywords,Complementary Keywords
EV infrastructure policy tracker,policies,predefined sources search,TRUE,Governmental Entity,policy,electric vehicle,billion;million;spending;budget;infrastructure
Consumer support tracker,spendings,predefined sources search,TRUE,Official Gazette;Official Press Releases;Official Ministry website;Disbursment / annual statements;Official initial budget document;Other budget documents;Disbursement / annual statements,energy;consumers,inflation;subsidies,billion;million;law
Renewable energy policy news,news,predefined sources search,TRUE,PSD Newsletter,energy;news,renewables;solar;PV;wind;geothermal;hydropower,billion;million;investment;project
Heat pumps spending tracker,spendings,predefined sources search,TRUE,Official Gazette;Official Press Releases;Official Ministry website;Disbursment / annual statements;Official initial budget document;Other budget documents;Disbursement / annual statements,energy,heat pumps,billion;million;spending;budget;infrastructure
